Nama pembeli,Tanggal pembelian,Review,Column 4,ratings
arifsiswandi,2023-07-07 18:34 | Variasi: White,,arifsiswandi2023-07-07 18:34 | Variasi: WhiteFitur Terbaik: iyaSepadan dengan Harga: iyabelinya sepaket aja biar nyaman kalo mau ganti2 0:05Membantu?Laporkan Penyalahgunaan,5
,2022-10-05 06:34 | Variasi: White,,"y*****r2022-10-05 06:34 | Variasi: WhiteSeller gercep, pengiriman cepat, packing juga aman. Terima kasih seller 0:05Membantu?Laporkan Penyalahgunaan",5
de_lucky92,2022-11-18 18:44 | Variasi: Grey,,"de_lucky922022-11-18 18:44 | Variasi: GreyFitur Terbaik: okSepadan dengan Harga: okBarangnya udah sampe lmaa banget , tapii ya ndak papa asal barangnya utuh makasih kaaa 0:051Laporkan Penyalahgunaan",5
,2023-04-06 19:03 | Variasi: Green,,o*****f2023-04-06 19:03 | Variasi: GreenSepadan dengan Harga: bagus bangetFitur Terbaik: terbaikasli ini bener bener lembut parah strap nya bagus ga bakal nyesel beli 0:10Membantu?Laporkan Penyalahgunaan,5
umiandayani22,2023-06-12 18:17 | Variasi: Yellow,,"umiandayani222023-06-12 18:17 | Variasi: YellowSepadan dengan Harga: harga terjangkau barang bagusTali jamnya bagus enak di pake,lembut juga,sesuai dengan warna 0:04respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan",5
diantaragesangsaputro,2022-10-22 18:12 | Variasi: Green,,"diantaragesangsaputro2022-10-22 18:12 | Variasi: GreenFitur Terbaik: warna barang tidak sesuai dengan gambarSepadan dengan Harga: kualitas strap baik, lembut, tidak terlalu lentur dan tidak terlalu kaku.Kualitas strap bagus,lembut, tidak terlalu lentur dan tidak terlalu kaku, pas. Warna foto dan warna aslinya berbeda, di foto hijaunya hijau tosca ternyata ketika datang warnanya hijau army. Pesan 2 dengan warna yg berbeda packingnya dibedakan dan datangnya enggak bareng, yang satunya malah belum sampai1Laporkan Penyalahgunaan",4
hariskadir117,2023-03-28 07:22 | Variasi: Dark Blue,,"hariskadir1172023-03-28 07:22 | Variasi: Dark BlueSepadan dengan Harga: ada harga ada kualitasFitur Terbaik: iyaAlhamdulillah pesanannya sudah sampai
Awalnya masih ragu untuk pesan, tapi maju saja dan alhamdulillah barangnya sampai dan rekomendasi
Doakan saja awet dan tahan lama
Cuma masalah di jasa kirim yg butuh 2 pekan ke luar pulau Jawa 
Terima toko
⭐⭐⭐⭐⭐ 0:06Membantu?Laporkan Penyalahgunaan",5
,2023-11-28 17:58 | Variasi: White,,"f*****82023-11-28 17:58 | Variasi: WhiteStrapny bagus bgt dan lebih rapat dibanding strap asli bawaanny, soalny tanganku kecil jd butuh yg lebih kecil hehe
Gampang jg diganti2nya, thanks sellerMembantu?Laporkan Penyalahgunaan",5
adizarkus,2023-05-28 14:09 | Variasi: Dark Blue,,adizarkus2023-05-28 14:09 | Variasi: Dark BlueFitur Terbaik: baikSepadan dengan Harga: sepadanSemoga awet karena yang sering sobek itu si strap rubber ringnya 0:04Membantu?Laporkan Penyalahgunaan,5
imutna21,2023-02-03 16:21 | Variasi: Yellow,,imutna212023-02-03 16:21 | Variasi: YellowFitur Terbaik: bahannya kokohwarna kuningnya cantik2Laporkan Penyalahgunaan,5
machfuud2005,2022-11-22 15:02 | Variasi: Dark Blue,,"machfuud20052022-11-22 15:02 | Variasi: Dark BlueFitur Terbaik: bahan karet. OkeYg kurang hanya pengemasan dan pengirimannya sangat lama. Saya pesan bersamaan dg strap. Hari ke 2 br dikonfirmasi produk habis. Saya pesan tgl 11 pagi, barang diserahkan ke jasa kirim tgl 14, estimasi barang tiba tgl 18 tapi baru sampai ke alamat tgl 21 sore setelah berulang kali komplain ke shopee.Membantu?Laporkan Penyalahgunaan",4
,2023-09-13 21:13 | Variasi: Blue,,"w*****82023-09-13 21:13 | Variasi: BlueFitur Terbaik: not badSepadan dengan Harga: tidak jugaPackingan aman, pengiriman standart, warna ok, tapi sayang ada cacatnya sedikit ☹️ 0:10Membantu?Laporkan Penyalahgunaan",4
yanthidmr,2023-04-17 17:25 | Variasi: Red,,yanthidmr2023-04-17 17:25 | Variasi: RedFitur Terbaik: bagus pas dapat harga flash sale pulaSepadan dengan Harga: waahhh dapat harga promoMakasih bakal jadi langaganana ni 0:05Membantu?Laporkan Penyalahgunaan,5
cigito,2023-07-20 21:15 | Variasi: Blue,,"cigito2023-07-20 21:15 | Variasi: BlueFitur Terbaik: pas ukurannyaSepadan dengan Harga: alhamdulillah sesuaiAlhamdulillah diterima dengan aman dan sesuai harapan
Terima kasih PabosssMembantu?Laporkan Penyalahgunaan",5
,2023-08-13 17:42 | Variasi: Red,,"i*****52023-08-13 17:42 | Variasi: RedTulisannya Red, tapi ini lebih ke oren sih warnanya, bukan merah lagi. Selain itu bahan nyaman dan kuncian mudah untuk pemasanganMembantu?Laporkan Penyalahgunaan",4
helisakeumala,2022-10-28 18:06 | Variasi: Yellow,,helisakeumala2022-10-28 18:06 | Variasi: Yellowmerahnya bagus ga norak. lentur bahannya bagus. terima kasih 0:041Laporkan Penyalahgunaan,5
ulvqbe7hzl,2022-09-24 14:34 | Variasi: Yellow,,ulvqbe7hzl2022-09-24 14:34 | Variasi: YellowFitur Terbaik: sesuai deskripsi sellerSepadan dengan Harga: sepadanpengirimn cepat..ke arah warna orange drpd yellow..sesuai deskripsi seller1Laporkan Penyalahgunaan,5
,2022-11-16 07:59 | Variasi: Wine Red,,"m*****82022-11-16 07:59 | Variasi: Wine RedFitur Terbaik: bagusPaket main di lempar saja oleh jasa kurir, kualitas bagus👍🏻Membantu?Laporkan Penyalahgunaan",5
,2023-03-04 20:02 | Variasi: Black,,7*****n2023-03-04 20:02 | Variasi: BlackBARANG TERLALU LAMA KIRIM NYA... DI CHAT PENJUAL TIDAK MERESPONE... SANGAT SANGAT BURUK PELAYANAN DI TOKO INI SANGAT2 TIDAK RECOMENDED BARANG JUGA TIDAK ORIGINAL ALIAS KW SUPER ...Membantu?Laporkan Penyalahgunaan,1
sahrul_sf,2023-09-08 14:37 | Variasi: Red,,"sahrul_sf2023-09-08 14:37 | Variasi: RedGak kayak yg asli nya, padahal yg jual amazfitnya langsung, tp produknya gak kayak yg bawaan.Membantu?Laporkan Penyalahgunaan",3
pingkanpitoysihite,2023-09-08 08:40 | Variasi: Black,,"pingkanpitoysihite2023-09-08 08:40 | Variasi: BlackFitur Terbaik: baikSepadan dengan Harga: yaSudah dipasang dan digunakan semuanya baik. 

TrimakasihMembantu?Laporkan Penyalahgunaan",5
pusatcustom,2022-11-14 18:07 | Variasi: Green,,pusatcustom2022-11-14 18:07 | Variasi: GreenFitur Terbaik: yaSepadan dengan Harga: goodGood bagus dipakai berasa memakai jam baru lagi .Membantu?Laporkan Penyalahgunaan,5
sonnymuljadi,2022-09-30 12:19 | Variasi: White,,sonnymuljadi2022-09-30 12:19 | Variasi: WhiteFitur Terbaik: warna sesuaiSepadan dengan Harga: sepadanSesuai deskripsi sellerMembantu?Laporkan Penyalahgunaan,5
,2023-04-02 22:45 | Variasi: Red,,r*****12023-04-02 22:45 | Variasi: RedFitur Terbaik: talinya bagusSepadan dengan Harga: terjangkauStrapnya sudah diterima dengan baik 0:05Membantu?Laporkan Penyalahgunaan,5
,2023-05-26 15:16 | Variasi: Grey,,h*****72023-05-26 15:16 | Variasi: GreySepadan dengan Harga: iyaFitur Terbaik: karet lenturBarang bagus karetnya lentur dan lumayan tebal 0:05Membantu?Laporkan Penyalahgunaan,5
bangsusilo24,2023-07-21 17:44 | Variasi: White,,"bangsusilo242023-07-21 17:44 | Variasi: WhiteFitur Terbaik: Produk asli, kualitas sangat bagusKaret tebal, kualitas asli bukan kaleng kaleng.Membantu?Laporkan Penyalahgunaan",5
dzitha,2023-12-08 17:40 | Variasi: Blue,,dzitha2023-12-08 17:40 | Variasi: BlueDah pas Alhamdulillah cucok ya…pinginnya warna darkblue tp ini ok juga 0:05Membantu?Laporkan Penyalahgunaan,5
irmajoewita,2023-03-30 13:45 | Variasi: Dark Blue,,irmajoewita2023-03-30 13:45 | Variasi: Dark BlueSepadan dengan Harga: strapnya bagus bahannyaFitur Terbaik: sipp o 0:10Membantu?Laporkan Penyalahgunaan,5
doddydores,2023-07-22 09:10 | Variasi: Blue,,"doddydores2023-07-22 09:10 | Variasi: BlueWarna strap hijau kurang berwarna seperti di gambar, saya pesan hijau stabilo yg datang hijau gelap.Membantu?Laporkan Penyalahgunaan",3
,2024-01-01 17:47 | Variasi: Red,,"m*****w2024-01-01 17:47 | Variasi: RedProduk sesuai pesanan dan harapan. Semoga awet dan bermanfaat.
Tapi, lain kali selain alamat tujuan, no hp penerima juga ditulis yaa.. Biar memudahkan koordinasi dgn kurirnya. 0:05Membantu?Laporkan Penyalahgunaan",5
hildaaa_hf,2023-02-25 15:58 | Variasi: Black,,hildaaa_hf2023-02-25 15:58 | Variasi: BlackFitur Terbaik: not badSepadan dengan Harga: iyaPengirimannya agak lama 0:37Membantu?Laporkan Penyalahgunaan,5
puspitanita,2023-05-12 15:09 | Variasi: Black,,"puspitanita2023-05-12 15:09 | Variasi: BlackBarang sdh diterima,packing aman jd gk khawatir barang knp2 0:08Membantu?Laporkan Penyalahgunaan",4
dilansantoso,2023-03-17 18:02 | Variasi: White,,dilansantoso2023-03-17 18:02 | Variasi: WhiteSepadan dengan Harga: okFitur Terbaik: okPengiriman cepat sesuai gambar kurir baik seller baik barangnya juga bagus nextime beli lagi disini deh kalo mau warna lain makasihMembantu?Laporkan Penyalahgunaan,4
,2023-04-08 16:47 | Variasi: Red,,"a*****i2023-04-08 16:47 | Variasi: RedHijaunya gak sesuai gambar.
Digambar hijau stabilo
Yg dtng hijau army
Pembodohan publik ini sih.Membantu?Laporkan Penyalahgunaan",2
,2023-07-02 16:37 | Variasi: Dark Blue,,"i*****02023-07-02 16:37 | Variasi: Dark BlueProduct sesuai deskripsi, pengiriman cepat, mantap seller 0:04respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan",5
,2022-12-14 11:14 | Variasi: Green,,d*****i2022-12-14 11:14 | Variasi: GreenFitur Terbaik: mantapSepadan dengan Harga: sepadanSayang warna nggak sesuai difoto yang data hijau armyMembantu?Laporkan Penyalahgunaan,5
,2023-05-09 08:37 | Variasi: Red,,"p*****i2023-05-09 08:37 | Variasi: RedDikirim sesuai pesanan. Kualitas bagus, harga terjangkau. Trima kasih🙏 0:06Membantu?Laporkan Penyalahgunaan",5
anjaniputrikn,2022-12-06 22:43 | Variasi: Green,,"anjaniputrikn2022-12-06 22:43 | Variasi: GreenFitur Terbaik: warna tidak sesuai Di gambar jauuuhh sekali, lain x harus di tmabkan warna hijau Armi. lebih jelas hrusnyaSepadan dengan Harga: standart hargnaJadi hijau tosca dan hijau Armi jelas jauh berbeda. Jd di tmbh kan saja nama hijau na hijau Armi. Dan gambarnya mohon di berikan warna yang sesuai. Kecewa di warna aja si GK sesuai sama gambar. Tapi kualitas bagus bgt bahana mewah. Pengiriman nya lama bener minnn.Membantu?Laporkan Penyalahgunaan",4
andryferbiansyah,2022-09-29 13:03 | Variasi: Green,,andryferbiansyah2022-09-29 13:03 | Variasi: GreenFitur Terbaik: warna ga sesuaiBçauckle metal Ok sihMembantu?Laporkan Penyalahgunaan,2
,2022-11-29 15:35 | Variasi: Blue,,a*****e2022-11-29 15:35 | Variasi: BlueMakasi banyaknpesananku udah nyampe dengan cepat.. cucok meong 0:04Membantu?Laporkan Penyalahgunaan,5
sanny69donsit,2023-04-15 15:59 | Variasi: Dark Blue,,"sanny69donsit2023-04-15 15:59 | Variasi: Dark BlueGak sesuai orderan
Gak bisa bedain mana kuning mana putih
Mana lama bgt packingnya
Chat gak digubris
Hanya otomatis massage ajahMembantu?Laporkan Penyalahgunaan",2
annisakhidayatillah,2023-07-05 12:06 | Variasi: Pink,,"annisakhidayatillah2023-07-05 12:06 | Variasi: PinkFitur Terbaik: bagusStrap nya tebel banget, gak balance sama jam tangan nya yg tipis buat gts 4mini
Strap ori emang paling bagus sih

Saran: Jual juga strap ori nya kalau bisaMembantu?Laporkan Penyalahgunaan",4
,2022-11-14 07:31 | Variasi: Dark Blue,,w*****a2022-11-14 07:31 | Variasi: Dark BlueFitur Terbaik: lumayanSepadan dengan Harga: lumayanMembantu?Laporkan Penyalahgunaan,5
,2022-10-15 06:56 | Variasi: Green,,a*****y2022-10-15 06:56 | Variasi: GreenMengecewakan. Warna hijaunya army tidak sesuai dengan gambar (hijau tosca)Membantu?Laporkan Penyalahgunaan,2
eejz70ogwm0w3sl18zfhdmsew439,2023-01-28 19:19 | Variasi: Yellow,,"eejz70ogwm0w3sl18zfhdmsew4392023-01-28 19:19 | Variasi: YellowSepadan dengan Harga: 👍Lentur, nyaman, warna kalemMembantu?Laporkan Penyalahgunaan",5
,2022-10-31 19:59 | Variasi: Green,,"m*****a2022-10-31 19:59 | Variasi: GreenDi gambar warna green turqoise, taunya green armyMembantu?Laporkan Penyalahgunaan",5
,2022-11-02 17:48 | Variasi: Dark Blue,,"s*****o2022-11-02 17:48 | Variasi: Dark BlueWalaupun datangnya agak lama tp barangnya bagus.. 0:18respon penjual:Hi Kak Sylvi. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it!
Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak.

Membantu?Laporkan Penyalahgunaan",5
shepandnx,2022-11-22 23:26 | Variasi: Green,,shepandnx2022-11-22 23:26 | Variasi: GreenWarna hijau nya beda sama yang di gambarMembantu?Laporkan Penyalahgunaan,1
,2023-10-11 17:06 | Variasi: Wine Red,,z*****22023-10-11 17:06 | Variasi: Wine RedFitur Terbaik: sukaSepadan dengan Harga: sukaTrimakasihrespon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Blackshark Wearable Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan,5
,2022-10-28 21:33 | Variasi: Blue,,g*****22022-10-28 21:33 | Variasi: BlueFitur Terbaik: FleksibelSepadan dengan Harga: IyaBagusMembantu?Laporkan Penyalahgunaan,5
bakhtiar777,2022-10-19 19:32 | Variasi: Blue,,bakhtiar7772022-10-19 19:32 | Variasi: BlueFitur Terbaik: mantapSepadan dengan Harga: mantapMantap barang Oke1Laporkan Penyalahgunaan,5
diyanmarwati,2023-03-25 10:26 | Variasi: Dark Blue,,diyanmarwati2023-03-25 10:26 | Variasi: Dark BlueSepadan dengan Harga: sesuai hargaPengiriman cepat 0:10Membantu?Laporkan Penyalahgunaan,5
yudi_tu,2023-05-14 06:57 | Variasi: Black,,"yudi_tu2023-05-14 06:57 | Variasi: BlackBukan seperti aslinya, tapi kualitas bagus. Tinggal ganti clippernya pakai yang ori, cakep lagi deh Amazfit BIP nya.Membantu?Laporkan Penyalahgunaan",4
,2023-01-06 22:19 | Variasi: Blue,,p*****a2023-01-06 22:19 | Variasi: BlueBelum pakai but okaay karena bundle dan diganti warna karena abis yang biru tapi suka abu2 jadi amannMembantu?Laporkan Penyalahgunaan,5
rifsyariff,2022-11-16 06:05 | Variasi: Wine Red,,rifsyariff2022-11-16 06:05 | Variasi: Wine RedFitur Terbaik: okeSepadan dengan Harga: okeSesuai harapanMembantu?Laporkan Penyalahgunaan,5
,2023-07-06 09:51 | Variasi: Dark Blue,,h*****d2023-07-06 09:51 | Variasi: Dark BlueFitur Terbaik: goodSepadan dengan Harga: goodrespon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan,5
,2023-09-01 05:47 | Variasi: Green,,"c*****k2023-09-01 05:47 | Variasi: GreenSepadan dengan Harga: yaFitur Terbaik: yaTerima kasih, barang sudah saya terima dan pas sekali.Membantu?Laporkan Penyalahgunaan",5
neni_diana,2022-11-04 13:16 | Variasi: Dark Blue,,neni_diana2022-11-04 13:16 | Variasi: Dark BlueFitur Terbaik: bahan karet nya bagusPas dgn type GTS 2 miniMembantu?Laporkan Penyalahgunaan,5
febrianika93,2023-09-13 10:13 | Variasi: Blue,,febrianika932023-09-13 10:13 | Variasi: Blue 0:07Membantu?Laporkan Penyalahgunaan,5
franz15041980,2022-11-14 09:14 | Variasi: Green,,"franz150419802022-11-14 09:14 | Variasi: GreenTolong diperhatikan lagi pesanan pembeli ya, pesan hijau yang datang warna lainMembantu?Laporkan Penyalahgunaan",5
,2022-11-25 11:09 | Variasi: Grey,,b*****a2022-11-25 11:09 | Variasi: GreyFitur Terbaik: okSepadan dengan Harga: okBar and sesuai gambar dan respone penjual baik. Overaall okMembantu?Laporkan Penyalahgunaan,4
indahsaridewi87,2023-04-16 08:51 | Variasi: Pink,,"indahsaridewi872023-04-16 08:51 | Variasi: PinkKmrin tidak saya cek,Baru mau d pakai, trnyata besi kait d satu tali tidak ada,jd tdk bisa d pakai😭Membantu?Laporkan Penyalahgunaan",3
meyfa24,2022-10-21 22:02 | Variasi: Green,,meyfa242022-10-21 22:02 | Variasi: GreenBerfungsi dwngan baik semoga aja awet. Untuk talinya di gambar hijau muda. Yg dateng hijau armi.Membantu?Laporkan Penyalahgunaan,5
,2022-09-27 19:16 | Variasi: Dark Blue,,g*****a2022-09-27 19:16 | Variasi: Dark Bluewarna hijaunya ga sesuai gambar1Laporkan Penyalahgunaan,3
cemilanmamih,2023-08-11 05:50 | Variasi: Green,,"cemilanmamih2023-08-11 05:50 | Variasi: GreenFitur Terbaik: warna tidak sesuaiSepadan dengan Harga: sepadanWarna Hijau muda digambar, dikirim warna hijau tuaMembantu?Laporkan Penyalahgunaan",2
riniup,2023-07-14 18:35 | Variasi: Yellow,,"riniup2023-07-14 18:35 | Variasi: YellowSepadan dengan Harga: sesuailahBentukannya smaa kaya tali biasanya begitulah
Tp mayan buat gonta ganti tali sih,
HehehheMembantu?Laporkan Penyalahgunaan",5
mk_05abel,2022-11-17 12:14 | Variasi: Wine Red,,mk_05abel2022-11-17 12:14 | Variasi: Wine RedFitur Terbaik: gooodddSepadan dengan Harga: sesuaiMembantu?Laporkan Penyalahgunaan,5
lindawibi,2023-07-05 17:43 | Variasi: Dark Blue,,lindawibi2023-07-05 17:43 | Variasi: Dark Blueyeei kece 0:11respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Amazfit Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan,5
cideng,2024-02-09 05:51 | Variasi: White,,"cideng2024-02-09 05:51 | Variasi: WhiteLumayan, tinggal beli cover glassnya 0:05Membantu?Laporkan Penyalahgunaan",5
,2022-12-25 12:30 | Variasi: Grey,,"c*****i2022-12-25 12:30 | Variasi: GreyIngin warna lain, cepet restock dong 😁Membantu?Laporkan Penyalahgunaan",5
,2023-07-09 16:30 | Variasi: Yellow,,c*****e2023-07-09 16:30 | Variasi: YellowMembantu?Laporkan Penyalahgunaan,5
elly_princess21,2024-09-08 15:50 | Variasi: Wine Red,,elly_princess212024-09-08 15:50 | Variasi: Wine RedBagusMembantu?Laporkan Penyalahgunaan,5
,2023-08-20 12:38 | Variasi: Blue,,m*****i2023-08-20 12:38 | Variasi: BlueMembantu?Laporkan Penyalahgunaan,5
,2023-09-30 16:02 | Variasi: Red,,f*****s2023-09-30 16:02 | Variasi: Red 0:12respon penjual:Hi Kak. Terima kasih sudah berbelanja di toko kami dan dan meluangkan waktunya untuk memberikan rating positif ya Kak. Really appreciate it! Jangan lupa untuk follow Blackshark Wearable Official Store agar nantinya kakak mendapatkan informasi terbaru dari toko kami. We’re lucky to have you as our great customer. Thank you again Kak :)Membantu?Laporkan Penyalahgunaan,5
tibelle,2022-10-21 08:57 | Variasi: Green,,tibelle2022-10-21 08:57 | Variasi: GreenHrsnya hijau tosca tp dikrm nya hijau navyMembantu?Laporkan Penyalahgunaan,4
firmandorins,2022-11-17 16:11 | Variasi: Wine Red,,firmandorins2022-11-17 16:11 | Variasi: Wine RedWarnanya kurang begitu sesuai dgn digambar.Membantu?Laporkan Penyalahgunaan,4
sovie.cloth,2022-09-27 18:00 | Variasi: Grey,,"sovie.cloth2022-09-27 18:00 | Variasi: GreyFitur Terbaik: barang bagus tapi yg hijau gk sama kya di gambar , kirainlumayan wort itMembantu?Laporkan Penyalahgunaan",3
a0c9ddqkji,2023-02-28 11:23 | Variasi: Dark Blue,,a0c9ddqkji2023-02-28 11:23 | Variasi: Dark BlueBagus sesuai dengan harganya tapi untuk warna kuning dan maronya sedikit berbeda dari gambar tapi ok lahMembantu?Laporkan Penyalahgunaan,5
poncoapriyanto473,2023-03-10 00:35 | Variasi: White,,"poncoapriyanto4732023-03-10 00:35 | Variasi: WhiteBahan karetnya agak kasar dan kaku. Pengiriman lama, sesama JakartaMembantu?Laporkan Penyalahgunaan",4
rienshabrina,2022-12-06 04:52 | Variasi: Blue,,rienshabrina2022-12-06 04:52 | Variasi: BlueMembantu?Laporkan Penyalahgunaan,5
frisma25,2023-07-09 05:51 | Variasi: Yellow,,frisma252023-07-09 05:51 | Variasi: YellowFitur Terbaik: Passsss mantaapppSepadan dengan Harga: yaoooMembantu?Laporkan Penyalahgunaan,4
,2023-07-11 17:19 | Variasi: Dark Blue,,"s*****a2023-07-11 17:19 | Variasi: Dark BlueSepadan dengan Harga: yaBahannya soft, enak dipakai, semoga awetMembantu?Laporkan Penyalahgunaan",5
madalena99,2022-09-22 18:40 | Variasi: Wine Red,,madalena992022-09-22 18:40 | Variasi: Wine RedFitur Terbaik: warna nya mengecewakanSepadan dengan Harga: warna nya gak samaWarna merah nya mengecewakan :( pdhl di gambar merah terang pas dtg merah gelap banget. Gak bisa dipakeMembantu?Laporkan Penyalahgunaan,5
agungprayogatombol,2022-12-11 09:26 | Variasi: Blue,,agungprayogatombol2022-12-11 09:26 | Variasi: BlueSepadan dengan Harga: yaa bagusBagus sudah beberpaa kali beli di toko ini.Membantu?Laporkan Penyalahgunaan,4
xrhblx,2022-12-05 20:57 | Variasi: Blue,,xrhblx2022-12-05 20:57 | Variasi: BlueFitur Terbaik: bagusSepadan dengan Harga: iyaBagusMembantu?Laporkan Penyalahgunaan,5
,2022-11-06 13:07 | Variasi: Grey,,s*****52022-11-06 13:07 | Variasi: GreyFitur Terbaik: GoodSepadan dengan Harga: Great!Thanks!Membantu?Laporkan Penyalahgunaan,5
